100.0		7.0	1.0	1.0	1.0	2.0		4.0	2.0	0.0	0.0	8.0
40.0		18.0	1.0	0.0	1.0	2.0		4.0	1.0	0.0	1.0	2.0
30.0		16.0	3.0	0.0	1.0	1.0		4.0	1.0	0.0	1.0	4.0
40.0		17.0	3.0	0.0	1.0	1.0		4.0	1.0	0.0	1.0	2.0
3.0	87.0	10.0	1.0	1.0	1.0	0.0		6.0	1.0	2.0	0.0	12.0
50.0		9.0	1.0	1.0	3.0	2.0		4.0	1.0	0.0	0.0	6.0
25.0		11.0	1.0	0.0	1.0	1.0		4.0	3.0	0.0	1.0	6.0
30.0		17.0	3.0	0.0	1.0	1.0		6.0	1.0	0.0	1.0	0.0
120.0		5.0	1.0	1.0	1.0	3.0		6.0	2.0	0.0	0.0	12.0
70.0		8.0	1.0	1.0	1.0	2.0		4.0	1.0	0.0	0.0	8.0
35.0		11.0	1.0	0.0	1.0	2.0		2.0	1.0	0.0	0.0	2.0
50.0		8.0	1.0	0.0	4.0	2.0		4.0	2.0	0.0	0.0	8.0
40.0		18.0	3.0	0.0	1.0	1.0		4.0	1.0	0.0	1.0	0.0
20.0		16.0	3.0	0.0	1.0	1.0		4.0	1.0	0.0	1.0	4.0
6.0	87.0	5.0	1.0	1.0	1.0	0.0		6.0	1.0	2.0	0.0	12.0
45.0		8.0	1.0	1.0	3.0	2.0		4.0	3.0	0.0	0.0	8.0
80.0		18.0	4.0	1.0	2.0	2.0		4.0	4.0	0.0	0.0	6.0
80.0		4.0	1.0	0.0	3.0	2.0		4.0	1.0	0.0	0.0	10.0
125.0		11.0	2.0	1.0	3.0	3.0		6.0	1.0	1.0	0.0	12.0
30.0		15.0	1.0	0.0	3.0	2.0		4.0	1.0	0.0	0.0	0.0
30.0		17.0	3.0	0.0	1.0	1.0		4.0	1.0	0.0	1.0	4.0
90.0		14.0	4.0	0.0	4.0	2.0		4.0	1.0	1.0	1.0	2.0
31.0		10.0	3.0	1.0	3.0	1.0		4.0	1.0	0.0	0.0	0.0
47.0		4.0	2.0	1.0	1.0	2.0		4.0	1.0	0.0	0.0	0.0
100.0		5.0	1.0	1.0	1.0	3.0		6.0	1.0	1.0	0.0	6.0
40.0		8.0	3.0	0.0	1.0	2.0		4.0	1.0	0.0	0.0	2.0
40.0		11.0	1.0	0.0	3.0	2.0		6.0	1.0	0.0	0.0	1.0
90.0		16.0	4.0	0.0	1.0	3.0		6.0	1.0	1.0	1.0	4.0
31.0		9.0	1.0	1.0	1.0	4.0		6.0	1.0	0.0	0.0	12.0
36.0		14.0	2.0	0.0	3.0	2.0		4.0	1.0	1.0	0.0	8.0
94.0		18.0	3.0	0.0	1.0	1.0		4.0	3.0	0.0	1.0	4.0
30.0		13.0	1.0	0.0	3.0	2.0		4.0	1.0	0.0	0.0	8.0
47.0		5.0	2.0	1.0	1.0	4.0		6.0	1.0	0.0	0.0	12.0
30.0		12.0	1.0	1.0	3.0	2.0		5.0	1.0	0.0	0.0	6.0
40.0		16.0	3.0	0.0	1.0	1.0		4.0	3.0	0.0	1.0	2.0
40.0		16.0	3.0	0.0	1.0	1.0		4.0	3.0	0.0	1.0	4.0
90.0		19.0	4.0	0.0	1.0	3.0		6.0	1.0	1.0	1.0	4.0
70.0		7.0	1.0	0.0	1.0	2.0		4.0	2.0	0.0	0.0	8.0
25.0		16.0	3.0	0.0	1.0	1.0		4.0	1.0	0.0	1.0	4.0
80.0		17.0	4.0	0.0	6.0	4.0		6.0	2.0	2.0	1.0	4.0
94.0		4.0	1.0	1.0	1.0	2.0		4.0	1.0	2.0	0.0	12.0
30.0		14.0	3.0	0.0	4.0	2.0		4.0	2.0	0.0	0.0	4.0
125.0		11.0	1.0	1.0	3.0	3.0		6.0	1.0	1.0	0.0	12.0
30.0		12.0	3.0	1.0	3.0	2.0		4.0	3.0	0.0	0.0	12.0
90.0		13.0	4.0	0.0	1.0	2.0		4.0	1.0	1.0	0.0	2.0
9.0		16.0	1.0	0.0	3.0	2.0		1.0	1.0	1.0	0.0	5.0
50.0		13.0	3.0	1.0	3.0	2.0		4.0	1.0	0.0	0.0	6.0
110.0		13.0	2.0	1.0	1.0	3.0		6.0	1.0	1.0	0.0	10.0
100.0		14.0	10.0	1.0	1.0	3.0		6.0	2.0	1.0	0.0	12.0
50.0		10.0	1.0	0.0	3.0	2.0		4.0	2.0	0.0	0.0	8.0
94.0		4.0	2.0	1.0	1.0	2.0		4.0	1.0	0.0	0.0	12.0
35.0		8.0	3.0	0.0	3.0	1.0		4.0	3.0	0.0	1.0	4.0
50.0		15.0	3.0	0.0	1.0	1.0		4.0	1.0	0.0	1.0	2.0
110.0		8.0	1.0	1.0	1.0	3.0		4.0	2.0	0.0	0.0	12.0
50.0		9.0	1.0	0.0	3.0	2.0		2.0	1.0	2.0	1.0	0.0
69.0		20.0	1.0	0.0	1.0	3.0		6.0	2.0	0.0	1.0	4.0
125.0		8.0	5.0	1.0	1.0	6.0		8.0	1.0	2.0	0.0	12.0
35.0		14.0	3.0	0.0	6.0	2.0		4.0	1.0	0.0	0.0	4.0
80.0		6.0	1.0	1.0	1.0	2.0		4.0	1.0	0.0	0.0	12.0
60.0		13.0	4.0	0.0	1.0	2.0		4.0	1.0	0.0	1.0	8.0
34.0		16.0	3.0	0.0	1.0	1.0		4.0	1.0	0.0	1.0	6.0
